peak,"Schonchin Butte",41.7381279,-121.5290743,1618
peak,"Bat Butte",41.7375619,-121.5536924,1485
peak,"Hardin Butte",41.7668967,-121.5253016,1362
peak,"Hippo Butte",41.7142786,-121.5315094,1671
peak,"Red Butte",41.7023759,-121.5296982,1618
peak,"Bearpaw Butte",41.7229323,-121.5530893,1627
peak,"Crescent Butte",41.7178657,-121.5155734,1530
peak,"Boundary Butte",41.6910599,-121.4964742,
peak,"Caldwell Butte",41.6983412,-121.4808008,1582
peak,"Caldwell Minor",41.7059543,-121.4831292,
peak,"Three Sisters",41.7436342,-121.4703475,1383
peak,"Whitney Butte",41.7389165,-121.5921929,1527.000000
peak,"Island Butte",41.6955884,-121.5916739,1685
peak,"Eagle Nest Butte",41.7034664,-121.5674582,1669
peak,"Juniper Butte",41.7914044,-121.4509942,1287
peak,"Mount Alyeska",60.958357,-149.0583801,
peak,"Pointe des Fous",15.2138188,-61.3312518,
peak,"Acacana",-3.7,-79.233333,
peak,"Cerro Acayana",-3.7,-79.166667,
peak,"Achaílan",-2.2666678,-80.899998,
peak,"Cerro Achupallas",-0.4248912,-78.3269577,
peak,"Albaja",-3.6,-79.983333,
peak,"Cerro Alto",-2.35,-80.533333,
peak,"Monte Amarillo",-2.883333,-78.683333,
peak,"Cerro de Anagumba",0.216667,-78.383333,
peak,"Amina",-1.0568253,-78.3159855,
peak,"Ami Grande",-0.683333,-78.5,
peak,"Cerro Andurcu",-4.183333,-79.583333,
peak,"Añaro",-0.3965678,-78.3179455,
peak,"Loma Angora Grande",-4.083333,-79.75,
peak,"Árbol",0.0831492,-78.2006021,
peak,"Cerro Oreros",-4.0308039,-80.3521915,1053 m
peak,"Cerro Ánimas",-2.366667,-80.516667,
peak,"Antisana",-0.4931516,-78.1349806,5752 m
peak,"Atacazo",-0.3535146,-78.6215109,4455 m
peak,"Ashigllo",-3.433333,-79.7,
peak,"Cerro Soroche",-2.3349486,-78.5430968,4689 m
peak,"Cerro Azul",-2.15,-79.983333,
peak,"Cerro de Batang",-2.4395093,-79.5743618,
peak,"Cerro Belamine",-4.233333,-79.65,
peak,"Cerro Bastión",-3.416667,-79.016667,
peak,"Loma Blanca",-4.2130998,-79.3002973,
peak,"Loma Saquigula",-0.6330731,-78.6405398,3839 m
peak,"Cerro Blanco",0.216667,-78.333333,
peak,"Bellavista",-3.516667,-79.45,
peak,"Cerro Brujo",-0.766667,-89.45,
peak,"Borma",-2.95,-78.866667,
peak,"Loma Bonita",-3.616667,-79.633333,
peak,"Buerán",-2.5992218,-78.916667,
peak,"Cerro de Cachi",-3.15,-79.116667,
peak,"Cerro Viudita",-0.4140238,-78.6076922,3786 m
peak,"Loma Cabuyal",0.032032,-78.3816913,2650 m
peak,"Cerro de Candelaria",-2.033333,-80,
peak,"Calahuín",-2.183333,-78.916667,
peak,"Cerro Calera",0.2005828,-78.3683126,
peak,"Cerro Capiro",-3.766667,-78.8,
peak,"Caraburo",-0.1000661,-78.3667473,
peak,"Cerro Cardón",-3.115187,-79.2160439,
peak,"Nevado Carihuairazo",-1.4061419,-78.7529866,5018 m
peak,"Cerro Cango",-3.95,-79.716667,
peak,"Canurumi",-2.4,-78.783333,
peak,"Cerro Sumiurcu",-1.0425266,-78.8820674,4525 m
peak,"Cashaloma",-0.2194442,-78.4825223,2713 m
peak,"Hualajaló",-1.1512542,-78.8034465,4385 m
peak,"Loma Castillo",-3.583333,-79.666667,
peak,"Cerro Carrizal",-4.516667,-79.033333,
peak,"Loma Cedro",-3.4,-79.55,
peak,"Cayambe",0.025547,-77.9924838,5790 m
peak,"Chanlor",-1.9,-78.85,
peak,"Cerro Chillacocha",-3.5425,-79.671944,
peak,"Chincillo",-3.616667,-79.466667,
peak,"Churuloma",0.116667,-78.05,
peak,"Loma del Colorado",0.716667,-77.983333,
peak,"Cerro Condorhuasi",-4.25,-79.65,
peak,"Chosalongo Grande",-0.4618256,-78.2004827,4661 m
peak,"Coronado",-2.383333,-78.9,
peak,"Cerro Corazón",-0.530741,-78.659491,4790 m
