1,Beura-Cardezza,8.299716,46.079578,257,http://www.openstreetmap.org/browse/node/693237875,village
2,Baio Dora,7.8282456,45.5070014,264,http://www.openstreetmap.org/browse/node/1233023895,village
3,Donnas,7.7696974,45.6037633,322,http://www.openstreetmap.org/browse/node/838565327,village
4,Pont-Saint-Martin,7.7993525,45.5994802,345,http://www.openstreetmap.org/browse/node/838565100,village
5,Cimon Aurive,7.5732276,43.8680001,366,http://www.openstreetmap.org/browse/node/1496021702,peak
6,Condove,7.307613,45.117345,376,http://www.openstreetmap.org/browse/node/63629023,village
7,Chiusa di San Michele,7.327114,45.104245,378,http://www.openstreetmap.org/browse/node/63629039,village
8,Cardezza,8.2920104,46.0612559,440,http://www.openstreetmap.org/browse/node/1271612334,village
9,Zoie-Vernetto-Grangia,7.1618086,45.141291,440,http://www.openstreetmap.org/browse/node/650441889,village
10,Dorénaz,7.0431845,46.1483384,450,http://www.openstreetmap.org/browse/node/298859152,village
11,La Coupière,7.4512014,43.7762782,483,http://www.openstreetmap.org/browse/node/540423786,peak
12,Truc La Mura,7.3231537,45.1160935,521,http://www.openstreetmap.org/browse/node/1541311444,peak
13,M. Bellenda,7.542797,43.7979263,540,http://www.openstreetmap.org/browse/node/599572292,peak
14,Le Reboisat,7.2893225,43.7619461,542,http://www.openstreetmap.org/browse/node/1584068010,peak
15,Tête de Chien,7.402549,43.7306571,550,http://www.openstreetmap.org/browse/node/1092139406,peak
16,M. Caviglia,7.5322841,43.8686323,550,http://www.openstreetmap.org/browse/node/599572297,peak
17,Mont Bastide,7.3502954,43.7300252,566,http://www.openstreetmap.org/browse/node/1584068012,peak
18,Cima dei Sogli,7.5397904,43.8102519,608,http://www.openstreetmap.org/browse/node/599572293,peak
19,Uresso,8.3126193,46.2639143,655,http://www.openstreetmap.org/browse/node/1202330701,village
20,Livera,8.1043464,45.6128226,664,http://www.openstreetmap.org/browse/node/801075632,village
21,Cime du Castel,7.3717032,43.8140171,675,http://www.openstreetmap.org/browse/node/1588807693,peak
22,Leitera Inferiore,7.2180389,45.1405479,678,http://www.openstreetmap.org/browse/node/1198156853,village
